	accession	species	accession_short	cluster	genus	taxname	biosample	voucher	location	latlong	identifier	paper
6442	KR615853.1	Chioneinae sp.	KR615853	Cluster 687	Chioneinae	mitochondrion Chioneinae sp. BOLD-2016	PRJNA472144	BIOUG17710-B09	Canada	58.723 N 93.458 W	BOLD ID Engine	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
6469	KR624652.1	Limoniidae sp.	KR624652	Cluster 716	Limoniidae	mitochondrion Limoniidae sp. BOLD-2016	PRJNA472144	BIOUG17890-H06	Canada	58.7231 N 93.4597 W	BOLD ID Engine	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
6625	KR972166.1	Limoniidae sp.	KR972166	Cluster 474	Limoniidae	mitochondrion Limoniidae sp. BOLD-2016	PRJNA472144	BIOUG07800-A09	Canada	50.663 N 120.504 W	Kate Perez	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
6646	KR971976.1	Limoniidae sp.	KR971976	Cluster 476	Limoniidae	mitochondrion Limoniidae sp. BOLD-2016	PRJNA472144	BIOUG04839-D09	Canada	49 N 125.6 W	Valerie Levesque-Beaudin	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
6682	KR971747.1	Limoniidae sp.	KR971747	Cluster 480	Limoniidae	mitochondrion Limoniidae sp. BOLD-2016	PRJNA472144	BIOUG02699-B10	Canada	45.549 N 78.6958 W	Angela Telfer	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
6731	KR971412.1	Symplecta scotica	KR971412	Cluster 559	Symplecta	mitochondrion Symplecta scotica	PRJNA472144	07PROBE-11052	Canada	58.738 N 93.819 W	Fenja Brodo	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
6747	KR971273.1	Limoniidae sp.	KR971273	Cluster 488	Limoniidae	mitochondrion Limoniidae sp. BOLD-2016	PRJNA472144	BIOUG02699-C01	Canada	45.549 N 78.6958 W	Valerie Levesque-Beaudin	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
6830	KR970528.1	Limoniidae sp.	KR970528	Cluster 493	Limoniidae	mitochondrion Limoniidae sp. BOLD-2016	PRJNA472144	08TTML-2161	Canada	43.4464 N 80.2512 W	Angela Telfer	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
6920	KR969842.1	Limoniidae sp.	KR969842	Cluster 586	Limoniidae	mitochondrion Limoniidae sp. BOLD-2016	PRJNA472144	BIOUG18931-C12	Canada	44.348 N 65.189 W	Angela Telfer	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
6946	KR969579.1	Limoniidae sp.	KR969579	Cluster 499	Limoniidae	mitochondrion Limoniidae sp. BOLD-2016	PRJNA472144	BIOUG07518-D09	Canada	49 N 125.6 W		Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
6994	KR969199.1	Limoniidae sp.	KR969199	Cluster 502	Limoniidae	mitochondrion Limoniidae sp. BOLD-2016	PRJNA472144	08BBTIP-049	Canada	49.104 N 113.959 W	Angela Telfer	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
7035	KR968914.1	Molophilus oligacanthus	KR968914	Cluster 610	Molophilus	mitochondrion Molophilus oligacanthus	PRJNA472144	BIOUG20174-H03	Canada	51.436 N 116.188 W	Angela Telfer	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
7103	KR968424.1	Molophilus hirtipennis	KR968424	Cluster 640	Molophilus	mitochondrion Molophilus hirtipennis	PRJNA472144	BIOUG17664-D10	Canada	44.3482 N 65.189 W	Angela Telfer	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
7106	KR968389.1	Erioptera sp.	KR968389	Cluster 509	Erioptera	mitochondrion Erioptera sp. BOLD-2016	PRJNA472144	BIOUG06622-G09	Canada	48.673 N 123.429 W	Angela Telfer	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
7364	KR505903.1	Limoniidae sp.	KR505903	Cluster 690	Limoniidae	mitochondrion Limoniidae sp. BOLD-2016	PRJNA472144	BIOUG17308-H10	Canada	61.607 N 125.758 W	Valerie Levesque-Beaudin	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
7414	KR495969.1	Limoniidae sp.	KR495969	Cluster 628	Limoniidae	mitochondrion Limoniidae sp. BOLD-2016	PRJNA472144	BIOUG17036-H06	Canada	61.6065 N 125.758 W	Angela Telfer	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
7627	KR435648.1	Erioptera sp.	KR435648	Cluster 653	Erioptera	mitochondrion Erioptera sp. BOLD-2016	PRJNA472144	BIOUG06774-D07	Canada	51.209 N 115.51 W	Allison Brown	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
7652	KR431326.1	Limoniidae sp.	KR431326	Cluster 604	Limoniidae	mitochondrion Limoniidae sp. BOLD-2016	PRJNA472144	BIOUG04638-G04	Canada	51.022 N 118.207 W	Angela Telfer	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
7657	KR430959.1	Chioneinae sp.	KR430959	Cluster 629	Chioneinae	mitochondrion Chioneinae sp. BOLD-2016	PRJNA472144	BIOUG04288-E08	Canada	45.258 N 81.655 W	Allison Brown	Counting animal species with DNA barcodes: Canadian insects JOURNAL   Philos. Trans. R. Soc. Lond., B, Biol. Sci. 371 (1702) (2016) In
7694	MF176209.1	Limoniidae sp.	MF176209	Cluster 567	Limoniidae	mitochondrion Limoniidae sp. 2 LSR-2018						A checklist and identification key of craneflies (Diptera: Tipuloidea) from southern Neotropical salt marshes, with species
7702	MF176201.1	Symplecta cana	MF176201	Cluster 569	Symplecta	mitochondrion Symplecta cana						A checklist and identification key of craneflies (Diptera: Tipuloidea) from southern Neotropical salt marshes, with species
7710	MF176193.1	Ormosia sp.	MF176193	Cluster 573	Ormosia	mitochondrion Ormosia sp. 2 LSR-2018						A checklist and identification key of craneflies (Diptera: Tipuloidea) from southern Neotropical salt marshes, with species
7712	MF176191.1	Ormosia sp.	MF176191	Cluster 574	Ormosia	mitochondrion Ormosia sp. 2 LSR-2018						A checklist and identification key of craneflies (Diptera: Tipuloidea) from southern Neotropical salt marshes, with species
7714	MF176189.1	Ormosia sp.	MF176189	Cluster 576	Ormosia	mitochondrion Ormosia sp. 1 LSR-2018						A checklist and identification key of craneflies (Diptera: Tipuloidea) from southern Neotropical salt marshes, with species
7715	MF176185.1	Gonomyia condensa	MF176185	Cluster 577	Gonomyia	mitochondrion Gonomyia condensa						A checklist and identification key of craneflies (Diptera: Tipuloidea) from southern Neotropical salt marshes, with species
7717	MF176183.1	Gonomyia condensa	MF176183	Cluster 579	Gonomyia	mitochondrion Gonomyia condensa						A checklist and identification key of craneflies (Diptera: Tipuloidea) from southern Neotropical salt marshes, with species
